RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
9,California,1,25252,25523,25831,27070,29022,30225,32920,34722,36044,36615,37816,39552,39120,36825,34252,33806,34731,34712,35339,35364,37627,38546,38722,38257,37373,35947,34544,33411,32043,30422,29888,29900,31914,33295,36079,36625,36867,34890,32834,31291,30596,31301,31696,31894,33361,34294,36968,38168,38511,36758,35096,33788,33679,33614,33030,34128,36019,38486,40129,40144,39717,38170,37120,35700,36085,35873,36370,35941,36195,36203,36763,36405,35782,34930,33997,33813,33694,33404,34149,34583,35193,35520,35617,36187,36611,37110,37058,37647,38459,38401,38621,37500,37487,37749,38414,39502,39043,38498,37761,37918,37619,38246,38473,38857,40902,40953,42444,40594,41139,39146,39352,39455,39737,39942,39350,40284,41645,40950,41520,40052,40726,39416,38919,37934,38034
54,Texas,2,26717,25470,23757,23827,23374,22811,21755,21181,20431,20334,20328,21454,21838,21383,20174,20365,21051,21431,21305,21223,23579,23975,23598,22115,22444,23561,23633,23608,21270,19618,17780,17888,19144,19754,21487,21076,21611,20630,20470,20145,19504,19824,19364,19493,19802,20245,21882,22578,22878,21855,21445,21734,22267,21977,21059,21469,21905,22750,23928,24897,25529,26187,26371,26762,26247,26428,26507,26089,25944,25878,26569,26507,26703,26636,26878,27522,27408,25967,26301,26787,28413,28454,28441,28380,28418,28034,27877,28594,29202,29099,28711,28653,29044,29300,30051,31883,32037,31522,30301,30479,30005,30529,30258,30418,31530,31873,33926,33942,34746,33239,32852,32648,32302,31427,30553,31601,33237,33346,34507,34101,33828,32183,31920,32786,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9459,9750,10067,11030,11640,11359,11028,10488,10458,9969,9580,9362,9274,9816,10105,10610,10742,10965,11138,10923,10626,10130,9957,9937,9935,10701,11236,11773,11710,11999,11968,12014,12191,12754,13056,12903,12851,12838,12669,12500,12451,12762,12869,13003,12896,12943,13116,13057,13364,13160,13700,13902,14284,13858,14027,14437,14970,15184,14938,15168,15159,15238,15809,16713,17262,16779,16401,16073,16510,16307,16205,16369,16446,17340,17917,18701,18763,18556,18494,17779,17921,17151,17494,17257,17442,17971,17897,17822,17388,17557,,
14,Florida,4,18159,17545,17302,17685,17983,17705,17928,17779,17546,17339,18223,19629,20436,20089,20047,20731,21789,22377,22967,23568,24875,25501,26076,25481,25797,25314,25234,24925,24273,23815,23165,23035,23704,24397,27087,28537,29642,28455,27397,26114,24789,25013,24865,24672,24759,24799,26349,26610,27098,26874,26864,26360,25908,25837,25974,27522,28929,30351,32318,32976,33337,32713,32838,33069,32934,33161,33628,33861,33739,33943,34803,35280,35291,34951,35038,35304,35479,35378,36291,37154,38031,38887,38620,39343,39663,40608,39971,40449,40499,40718,40607,39726,39737,38806,38888,39293,39208,38752,38106,38619,37959,38431,37596,37758,38383,38823,40520,40339,41562,40848,41775,41850,41825,41719,38027,38169,37821,40622,43091,43413,44283,42844,43100,42789,
21,Illinois,5,15307,14919,13577,13044,12923,12675,12690,12294,11792,11182,10703,11343,11819,12106,11417,11202,11481,11745,12035,12376,13872,14659,14461,14051,14060,14562,14208,13929,12896,11772,10406,9747,10126,10627,11661,12136,12609,12046,11488,11114,10860,11105,10799,10884,11062,11566,12646,13515,13909,13499,12893,12703,12435,12621,12046,12160,11883,12294,13764,14821,15342,14893,14171,13988,14427,14911,15240,15264,15825,16243,16791,17170,17072,16657,15854,16037,15732,15294,15740,16405,16808,16795,16141,16993,17172,17713,17129,17475,17994,18742,18724,18315,17774,17488,17509,19133,19545,19808,19097,19723,19731,20078,19343,18952,18673,18868,19684,19796,20456,20083,20367,20100,19882,19543,18644,18591,18750,19068,19554,19447,19988,20359,20931,21578,
47,Pennsylvania,6,13101,12706,11604,11415,11037,10868,10774,10516,10164,9589,9251,9407,9452,9610,9204,9476,9747,10264,10581,10681,11525,11640,11076,10119,10053,10881,11072,11489,10727,9915,8733,8339,8665,8838,9448,10049,10299,10042,9436,9377,9152,9445,9152,9135,8983,9063,9847,10618,10818,10556,10085,10042,9997,9913,9443,9500,9870,10513,11241,11697,11686,11652,11363,11571,11533,11611,11863,11701,11573,11434,11709,11923,11801,11589,11297,11706,11693,11862,11833,12080,12164,12494,12715,13509,13689,13787,13136,13233,13728,14011,14261,14041,14044,14012,14196,15453,15517,15527,14787,15268,14966,15161,14712,14579,14771,14948,16155,16686,17087,16442,15998,15872,15494,15407,14993,15404,15797,15967,16961,17153,17214,16818,16452,16725,
44,Ohio,7,13501,13030,12033,11815,11521,11201,11135,11177,11047,11024,10621,11114,10963,10965,10126,9951,10040,10358,10649,11041,11941,12397,12125,11627,11514,11914,12068,11959,10723,9624,8889,8964,9388,9784,10621,11107,11366,11041,10576,10004,9613,9663,9765,9882,10040,10299,11089,11884,12126,11722,10962,10459,10105,9897,9576,9969,10437,11212,12218,13032,13368,13040,12764,12758,12904,12952,12863,12792,12826,12923,12893,12779,12327,11931,11666,11973,12157,11773,11920,12199,12688,13271,13408,14172,14182,14466,14074,14201,14252,14294,14120,13817,13428,13266,13780,14943,15102,14860,14392,14931,14878,15150,15068,15067,15152,15070,15807,16170,16790,16521,16558,16478,16259,16369,16212,16886,17299,17678,18212,18100,18210,17993,18010,18336,
30,Michigan,8,12399,12568,11906,11508,11144,10709,10816,10733,9794,9869,10066,11758,12491,13010,12773,12024,11889,11686,11883,11227,10766,11597,12285,13800,14040,14649,14096,13389,11985,10972,10263,10038,9924,10440,11381,12767,13525,13499,12780,11654,11027,11436,11519,11296,11125,11440,12481,13895,14750,14733,13845,13007,12720,12494,12344,12982,14058,14862,15598,15943,16174,15768,14967,14571,14443,14362,14724,14887,15341,15497,15459,15349,14723,14512,13923,13989,14214,14207,14522,14406,14683,15546,15493,15661,15115,15626,15225,15551,15317,15767,15411,15452,15167,15412,15650,16857,17242,17397,17041,17089,17067,17315,17432,16472,14500,14334,15644,17639,18257,17753,18144,18075,18346,18342,17859,17700,15561,15332,15573,16832,16905,16828,17611,17756,
16,Georgia,9,13894,13547,12740,12541,12560,12399,12586,12813,12622,12408,11040,10519,10126,10062,9845,9794,10419,11e3,11005,11109,11611,12364,11491,10997,10581,11250,11065,10790,10102,9611,9671,10671,11731,11971,11656,11536,11553,11256,11206,11296,11925,12997,14664,16292,17496,17486,18181,18978,19725,19748,19473,20190,20680,21092,20643,21166,21761,21954,22413,22390,22485,21767,21281,21437,21645,21804,21463,21360,21165,20761,20656,20357,20658,19905,19969,19996,20627,20626,20811,21103,21117,21014,20594,20581,20549,20863,18855,17603,15765,15942,17161,18076,17681,17800,18016,20720,21077,21664,21545,22516,21832,21228,19592,19524,19439,19632,18284,17131,16617,16953,17739,17734,17891,17631,16999,17438,17671,18458,17676,17654,17447,18547,18906,19608,
36,North Carolina,10,10875,10460,9539,9432,9224,8983,8806,8548,7873,7345,7039,7580,7692,7585,7111,7238,7600,7837,8172,8459,9035,8867,8417,8057,8191,8664,8715,8786,7933,7364,6870,6970,7091,7299,7616,7901,7904,7754,7414,7215,6890,7081,7074,7128,7015,6940,7415,8039,8313,8145,7767,7674,7459,7333,7179,7522,7866,8373,9094,9617,9755,9731,9761,9872,9810,9854,9921,10011,9862,9834,10049,10223,10157,9879,9788,9982,10139,10030,9941,10248,10280,10716,10763,11244,11342,10455,9286,9243,10371,11405,11465,11012,10246,9590,9789,11139,11982,12388,12396,13050,12946,13324,13409,13723,14165,14055,14811,14807,15468,14966,14776,14732,14545,14926,15123,16004,16178,15626,15583,15508,15710,15683,15714,15974,
