RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
9,California,1,23518,28536,31373,33071,36669,35316,36477,38863,29342,36011,29082,28920,35825,37191,37081,41825,42254,36889,37473,38416,32838,37971,26604,27223,36480,36215,38349,40100,33387,32754,32394,30330,29170,34541,26610,26231,36346,34432,34572,38433,33813,36826,33873,31292,30814,34624,27032,29042,36735,35809,40354,39764,37268,39993,31952,37224,34204,37310,28898,29423,37179,39343,43028,39895,42669,42163,35432,37381,31737,33379,26712,26505,32535,38249,38801,38792,39796,37690,35264,37456,29321,34155,25781,26413,36499,41213,41636,46434,46095,41298,40120,38343,30435,38538,27589,28476,38351,40594,42582,47098,41644,44549,40705,38976,37949,38469,29773,28659,41309,39236,46064,50487,42204,46597,41035,41189,37759,36593,29333,29312,39767,40783,44718,44630,43208
54,Texas,2,23774,25876,26542,27791,28239,25213,21392,21819,15415,19121,14891,16469,21618,21241,21756,25727,26980,23626,22514,22243,21779,21563,14423,16566,24056,25424,26300,27778,20948,21140,18890,17783,17444,18896,15692,14959,21846,20825,22979,24144,21732,24668,20040,18501,17581,19455,15986,17499,21717,21140,26115,26192,26314,25737,20406,23161,18617,20947,18232,19035,24334,29793,30566,29589,32535,31953,26606,25866,21468,23940,19083,19379,26187,28829,31310,32638,32864,27015,30136,28848,22344,27449,19680,20178,29448,28753,31197,36677,35368,31602,31434,29303,22514,29250,21552,24460,31733,31190,34283,37398,34296,36967,32446,29065,27906,30418,24053,25400,34987,31913,38619,39802,35592,36492,32666,32804,28839,29941,24783,25329,31152,32593,38935,39184,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9491,8640,8315,9960,9790,9916,11789,11898,12549,11023,10135,9205,9667,9219,7782,8950,9154,10674,12117,12143,12539,11352,11099,9766,10233,10547,8764,9481,9937,12131,12143,14162,16135,15077,14654,12200,13435,11256,9085,10260,10651,12606,13594,15480,15702,14841,15485,12131,14353,11399,10608,11918,11864,12456,15936,18158,17852,17956,16645,14643,16170,13028,12624,15124,13838,14891,18308,18345,20614,19057,17311,16619,17431,15669,14169,15824,15151,17678,20233,18835,23090,19156,19289,17409,17860,16239,13335,14014,14461,17680,,
14,Florida,4,17429,19501,19766,20462,20923,17640,17759,18072,13673,18030,16132,16138,21239,21759,22644,25682,25792,23070,23189,24617,21993,26272,20516,19142,28230,27535,26755,29919,25932,23618,23139,22562,20806,26426,23827,22913,30878,29916,28784,29449,26098,27671,24200,22521,22600,25553,21146,21751,28028,29285,30674,29022,28393,28511,24670,29740,26649,30256,27737,26487,32501,37324,37816,36474,37676,36141,31860,34036,28916,34100,28516,28172,35381,39365,40068,39760,40801,37217,35900,38680,32336,40333,29516,31958,42817,45022,42974,48654,46161,40948,40371,38226,33144,39585,29974,31954,40763,41054,42936,46523,39716,41711,36490,35630,35328,39683,31702,32596,44998,42654,49141,49656,43486,45702,30827,38908,36071,40928,36048,34492,45172,46433,49560,48507,
21,Illinois,5,11823,13158,13967,15312,16499,15070,14189,13581,9376,10016,8141,7561,10179,11110,11391,14081,15349,14012,13988,15020,13859,13774,9763,8747,12371,13779,14606,17050,13902,12572,11097,10350,9912,10580,9406,7631,10678,10253,11938,14227,12258,14572,12093,11366,10803,11415,10202,8947,11227,11698,14151,15706,14069,16888,12544,13101,11256,11525,12274,9594,11645,14203,14944,16342,19926,18894,16206,18092,14871,14573,13561,10850,12820,15926,16944,19408,19377,17779,19433,19751,13669,16029,11939,10875,14822,16641,17693,22935,23364,23016,21114,19741,14912,16651,13476,13110,15965,17779,21307,25636,22926,25672,21173,19404,17481,18053,15066,12158,17848,17949,22805,25097,22305,24854,20117,19981,18048,17525,14702,12155,17074,19639,23725,27333,
47,Pennsylvania,6,10142,11175,12022,13493,13861,12635,11576,11319,8792,9242,6572,5953,8014,8902,9529,12199,13229,12334,11757,11966,11851,11528,6497,5951,9678,10674,11454,15058,11712,9717,9454,8972,8406,9513,7110,6495,8781,8437,9868,12063,10697,11910,9676,9348,8783,9439,7730,7040,8590,9218,11300,11853,12454,12142,8924,11139,10398,10449,8762,7523,8901,11185,12766,13207,15175,14333,12437,12797,10720,11396,8852,7301,9419,10806,12351,14668,14750,14201,12818,13796,11202,13193,9379,8642,11746,12347,13631,16781,18803,16017,15577,15791,12381,14707,10587,10226,12734,13659,16227,19567,17556,18559,15781,14989,14864,15542,12284,10539,14330,14015,17756,19581,17752,19238,15906,16986,15944,15639,13111,10635,13524,15772,18185,19912,
44,Ohio,7,11024,12229,13058,14226,14050,12839,12319,12512,9159,9929,7326,7665,9770,10302,10367,12676,13064,12266,12129,12769,11499,11052,7771,7429,11026,12104,13318,14637,10450,10295,10481,9449,8761,9555,7933,7359,10509,10187,11108,12202,11168,12091,11086,10215,9378,9681,8335,8415,10594,10517,11929,12577,11709,12035,10030,11577,10170,10200,9678,9034,11379,12632,14630,15501,16153,15861,13367,14001,11835,11099,9084,8430,10147,11594,13628,14991,15007,13219,13693,14118,11103,12659,9511,9617,13012,14203,15242,18227,17748,16494,15489,14659,11170,12131,10658,10448,12878,14260,16418,19582,17437,18587,16986,15359,13993,13556,11584,10942,15600,15483,18978,20984,18344,20744,17975,18328,16470,15588,13097,11822,16289,17764,20423,23440,
30,Michigan,8,9350,10644,11491,11780,12347,12024,12153,13040,10186,9458,9497,8248,10598,11342,11728,12342,13995,13098,13025,12769,13332,12075,10523,9438,11853,12656,12595,14245,11471,11337,11854,11585,12674,10370,10327,8869,11509,10801,11253,12343,11681,14643,12638,11816,16276,10448,10735,10679,11816,11253,13485,13749,13381,15087,13255,16729,21757,12179,13378,11276,11926,13025,14638,15400,16162,16943,16640,18038,21427,13089,12369,10232,10711,12467,13687,15259,16619,16079,16341,17534,19722,14685,11985,9940,12395,13938,13796,18503,16975,17777,17315,18481,19449,13831,13359,11823,13841,14462,16762,19592,18341,20574,20006,16380,15975,14821,14552,11659,15327,14004,18699,21283,18728,21985,19665,19660,16945,14399,14179,10703,13619,14723,18402,19610,
16,Georgia,9,12940,13975,13937,13809,14527,13357,12967,13389,9909,10946,8251,7887,11068,10166,10236,12216,12601,12179,10983,11343,10819,11793,7722,8792,11948,11854,11606,12444,9980,9915,11353,11658,10530,10737,9423,9440,12072,10889,12966,13815,13361,16566,17461,16450,16094,15491,16208,16820,19600,20443,22471,24365,22784,23813,20512,21487,20134,18750,20026,18551,21281,22863,24161,24350,24352,24641,20826,21040,18693,17418,18194,16546,20411,20444,23242,22938,23256,23181,21157,21228,18107,18526,17551,16703,20648,23063,16424,18881,17758,16983,20651,18226,12195,18675,16543,17869,21989,22675,24460,27898,21192,22355,20081,18371,17202,18367,12674,13085,19013,17005,20878,21267,18119,19947,17175,17157,16163,17387,13056,14882,18844,19941,21927,23467,
36,North Carolina,10,9407,10223,11078,11118,10914,9842,8526,8174,5855,6808,5223,5905,7311,7464,8083,9409,9812,8581,8660,8872,8168,7989,5419,5860,8588,9579,9859,10771,7865,7555,7299,6730,6176,7753,5498,5619,7957,7738,8080,9011,7657,8423,7319,6422,6235,6947,5610,6390,7939,7850,9222,9373,8183,8444,7175,7703,7451,8504,7048,7162,9128,10448,11935,11578,11692,11632,9629,9830,8630,9345,7509,7373,9380,10337,11860,12187,12351,11042,9662,11004,8647,10732,7997,8044,11291,9152,9166,13657,14485,12327,11301,10521,7544,9149,7972,9002,11899,13178,14899,16953,14656,15616,14060,12913,13272,13444,10862,10761,15756,14639,17102,19122,16024,17746,16160,15698,14218,14208,11178,11378,15165,16607,18902,19507,
