"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"California","State","California","All Homes",140751,139753,140184,140037,138095,137527,138331,139965,143296,147071,150435,152683,153549,157250,162357,162227,159132,158249,158590,156494,152157,148783,146646,143180,137992,130712,120328,110798,104457,98075,91130,85903,81654,77243,74051,72725,72432,71899,70660,69498,68224,66006,65025,66739,68740,69912,71069,72282,73197,74525,76899,79767,82276,84166,84713,84172,84344,85008,84417,82719,80915,78691,77130,77536,78692,79317,79497,79524,79201,78302,76768,74113,71487,71120,72732,74492,75556,77251,79526,79656,77506,75027,72756,70878,69500,67878,65803,64261,63236,61347,59108,58195,58107,57702,57337,58025,59657,61000,62015,63634,65589,67048,68173
"Texas","State","Texas","All Homes",159759,160721,163291,164000,160783,158526,160343,165024,168489,168499,169335,171001,171540,171160,171360,172849,173909,175723,172834,161914,153403,151146,149520,146311,142845,139837,135530,130958,128829,126492,122747,120334,119159,117631,115694,114219,113822,114373,114777,114225,112615,109362,106641,105932,104902,103193,101881,100931,100041,99247,98816,98767,98477,97911,97722,97975,97988,97354,96361,95573,95127,94292,92598,91001,89919,88693,88868,90564,91894,92507,92463,91737,90221,89289,89593,89457,89153,90046,91525,92667,93464,94002,94195,94783,95872,95885,94700,94045,94672,95777,97684,99614,99476,98652,98279,97666,96492,95238,95200,96519,98283,99485,99684
"New York","State","New York","All Homes",98802,100255,102298,100311,95606,93280,91827,90456,90884,92286,94186,96142,97128,98126,101272,106209,110397,114000,118546,121392,120725,120298,121428,121039,118670,116632,114197,111189,109478,107090,103512,101085,100023,98474,95751,93656,93276,93568,93207,91676,89125,86404,84578,83860,83577,83487,83676,83788,83757,83379,82626,82658,83297,83858,84328,84474,84202,83313,82061,81119,80618,79804,79562,80914,82995,84845,85453,84787,83697,82646,81388,79807,78396,77423,77160,77113,76359,75331,74315,73402,73022,72620,72264,72652,72691,71139,68239,65422,63672,62363,61401,61115,61409,61839,61922,61954,62372,62700,62169,61532,61633,61926,62149
"Florida","State","Florida","All Homes",233036,232125,237664,242263,242333,244109,246070,248060,252695,256132,258331,260683,260384,259957,260180,255868,248681,248878,253350,250613,244232,241034,237437,229874,222807,215963,203381,190456,184540,180033,174788,171856,168074,162885,158455,154977,154400,157077,158646,156666,153370,148379,142751,141717,144497,147927,151288,153321,153461,153925,157096,161763,165281,166575,165520,163606,162422,160898,158476,156697,155322,150041,142294,140568,142566,142462,142775,143476,142509,140422,138723,137617,136392,137172,140972,145046,146931,147075,147280,147381,146482,144801,143278,143288,144573,144799,143512,141731,139734,138035,136737,135007,132590,131109,131058,131628,132002,132174,133907,136128,136712,136487,136509
"Illinois","State","Illinois","All Homes",83406,84640,86657,87056,85405,84866,85395,85048,84428,84017,84788,86695,87841,89112,90818,90823,89741,89322,89495,89392,88994,88714,88075,86944,85675,83688,81096,79257,78354,76936,74452,70915,66602,63868,62873,62127,61995,61815,60868,59962,58447,55875,54426,54921,55815,56220,56416,56658,56589,56072,55570,56011,57690,59345,60226,61002,61868,62077,61569,61158,61041,60906,61016,61562,62224,62408,61956,61725,61962,61924,61181,59978,58860,58114,57759,57651,57684,58262,58816,58511,58093,57884,57743,57427,56707,55871,54828,53580,52531,51833,51595,52225,53226,53406,52753,52045,51632,51523,51580,51619,51768,52173,52469
"Pennsylvania","State","Pennsylvania","All Homes",66603,68401,71957,73523,71942,70682,70728,71472,72627,73518,74929,76819,77975,79112,80475,80970,80968,82287,84336,84177,82519,81551,80843,79762,78492,77131,75216,72894,71389,69847,67303,65793,65737,65651,65018,64576,65448,66648,67040,67141,67075,66357,65432,65159,65241,65262,65479,65776,65427,64258,64061,66088,67958,68269,68402,68557,68216,67627,67007,66363,65602,64552,62892,61657,62412,64147,65192,65112,64604,64075,63178,62162,61555,61474,61636,61392,60576,59880,59248,58433,57741,57276,56857,56541,56388,55712,54188,52702,51741,50939,50295,49976,49927,49947,50019,50163,49942,49256,48636,48038,47021,45744,44743
"Ohio","State","Ohio","All Homes",56571,57987,61596,65590,66663,66251,66520,66929,67164,66932,67292,68156,68229,69948,73124,73757,72468,71704,71105,69808,68604,68030,67106,65840,65074,64045,62099,60114,58843,57712,56239,54928,54118,53967,53966,53946,54734,55686,55634,55266,55185,54681,53629,52866,52571,52385,52419,52639,52267,51030,50126,50538,51328,51768,52245,52523,52390,52036,51481,51093,50913,50152,48913,48359,49066,50148,50474,50200,49955,49781,49275,48531,47883,47038,45924,44921,44323,44090,44321,44969,45060,44289,43372,42993,42951,42379,41161,39690,38269,37328,36935,36805,36807,36849,36951,37016,36775,36156,35405,34808,34326,33864,33573
"Michigan","State","Michigan","All Homes",84535,85641,86782,85650,82564,80780,80319,79078,78334,78962,79696,80287,80983,81445,81713,81414,80122,78897,78026,76539,75007,74336,73566,72329,71375,70510,69289,68175,67627,66690,64870,63183,62044,61035,60196,59738,59495,59420,59369,59356,58941,57058,55085,54781,55127,55430,56010,56377,55916,55016,54399,54603,55914,57879,59321,59779,59346,58377,57883,57700,57076,56054,55207,54957,55196,55707,56618,57651,57827,56896,55498,54166,53040,52266,51876,51476,51013,50938,50803,50234,49671,48999,47974,46985,46494,45962,44808,43675,42745,41613,40608,39978,39810,39929,39827,39571,39182,38584,38117,37866,37635,37218,36602
"Georgia","State","Georgia","All Homes",93724,93983,94794,95261,94540,94421,94448,93648,93942,94833,95460,96083,96530,98535,101301,101642,99856,98459,97935,96437,91321,87310,89185,89572,87028,84844,81141,76750,73635,70703,66501,62119,59245,57429,55697,54881,54932,54695,54048,53477,52921,51666,51321,53212,55610,56903,56622,56098,56033,55692,55388,55858,56877,57692,58182,58590,59331,59784,59263,59011,58953,58734,59756,61395,62073,62537,63434,63965,64232,63812,62017,60101,58511,57116,56433,56741,58021,59149,59196,58788,58664,58441,57649,56978,56611,55576,53719,51944,50748,50039,49716,49537,49448,49132,48350,47889,47659,46915,45923,45242,44809,44519,44493
"North Carolina","State","North Carolina","All Homes",90338,91223,92762,93816,93598,93549,92975,92347,93396,94313,94512,94882,95165,96133,98515,100207,100434,101117,101983,100716,97734,96124,95734,94638,93401,92616,90991,88600,86666,83876,79924,77619,77675,77978,77722,77367,77376,77680,77920,78186,77976,76823,75951,76006,76179,76385,76467,76101,75335,74158,73668,74584,75528,75927,76125,75728,74356,72504,71007,69900,68761,67702,65472,62385,61301,61575,62188,62708,62313,61267,60308,59962,59732,59151,58861,59217,59318,59404,59437,58789,57962,57026,55885,55235,54913,53807,52132,50387,48719,48042,48063,47988,48281,48836,48961,48822,48480,47470,46389,45891,45385,44417,43392
