"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"California","State","California","All Homes",133826,131959,137241,138538,135051,139188,142819,144756,148817,152629,153501,150842,143870,148932,162414,159152,157100,158911,164837,162817,157604,153098,150976,140156,129169,126000,116008,106048,103734,100410,95238,91586,88271,81822,77248,68608,63443,65236,66216,65968,67698,68378,68613,74233,74729,75959,73694,69004,62795,67384,71369,76784,81254,87436,91137,90645,90858,91003,88289,77416,71582,70816,71120,73666,78553,82422,85818,86763,86315,84038,80224,69619,59922,62998,66798,71354,74978,80050,87124,87857,84197,80918,75633,65442,59113,60104,59774,60016,63591,65190,65196,65585,65452,63562,60041,52196,49316,52928,55713,59552,65864,70786,75085
"Texas","State","Texas","All Homes",149154,152764,160432,166054,161803,161614,168712,169803,177289,166876,170070,165311,160881,165028,165739,175024,173417,181559,185776,165694,156348,153006,149848,140732,131665,133258,133003,128518,131089,132076,129978,126499,124656,119211,115711,108019,103102,106892,111902,112940,115048,114199,113031,114048,109820,105443,101468,95773,88875,92304,94229,97850,99660,102782,105175,105653,103504,99890,96612,89651,84764,86904,88702,88365,92006,92691,95848,99151,97002,96014,92354,87098,79141,81016,85438,87664,89374,94891,99144,101091,98960,97331,94507,88926,85758,88548,89847,91245,95599,100496,104326,109731,104655,101870,98823,92456,86119,86768,90188,93876,99376,104352,107394
"New York","State","New York","All Homes",87838,90246,99228,101260,94900,99911,98488,96113,96309,95992,94332,91710,86292,88606,95430,106006,112418,119183,125358,130098,125418,123436,122640,116733,107544,107269,110758,107990,112665,112920,110060,106961,105998,102928,96076,87820,82503,84845,88178,90612,90966,92110,90871,90689,89216,87579,84224,78870,72865,75098,76295,80745,85473,89418,91741,90860,90786,87315,83060,75265,70682,70835,72955,79128,84478,91413,92471,91718,89454,87148,82222,74509,67955,68620,70980,75510,78000,81131,81306,79644,79120,77247,72422,67598,63026,62746,62645,62265,65871,67784,68247,67456,67408,66485,62653,56596,52080,54512,56375,58614,63658,67582,69089
"Florida","State","Florida","All Homes",238060,231753,247798,244832,236244,239981,243451,240612,250333,255762,258994,267784,259928,266240,268070,259598,241104,241761,254894,245578,239544,238544,243395,231858,223356,224599,211748,186440,182362,176750,169108,168472,164946,160313,161518,157266,153922,163868,166970,157312,150567,146644,136108,137270,140358,146053,153331,157042,153780,159889,162738,163452,163553,164299,162421,159056,158690,159006,159494,158243,156584,159500,144743,140594,143701,138076,140004,140203,138801,137845,139032,140177,135731,142638,147007,147252,146930,144221,144450,144069,142609,142010,143564,143982,145274,151966,148974,143948,138714,136034,133657,132249,127945,127651,131834,132303,133127,137220,139680,138568,136667,134196,133878
"Illinois","State","Illinois","All Homes",75037,77860,84141,87752,86002,88096,91771,90427,88671,85860,83846,82880,79959,81658,89301,89878,91256,92598,95282,95304,92920,91124,88337,82120,78090,77434,77700,78008,79930,81379,79471,78011,69600,65927,63220,57165,54061,55752,57204,58793,60682,59042,59083,60986,60335,59175,56500,52311,48874,49321,51834,53744,59296,63364,65589,66778,66809,65456,61976,56452,53316,53948,57084,59765,63539,66543,67066,67538,66875,65478,61934,55446,50834,51120,53721,55709,58740,61611,64977,64054,63221,61286,58437,53292,48564,49138,50787,51531,53428,55582,56542,58059,58600,57356,53391,47624,43513,44548,47430,49543,52611,55950,57911
"Pennsylvania","State","Pennsylvania","All Homes",58676,60701,68362,73616,71424,73994,75268,75901,77537,76929,75944,74754,70290,72120,76741,79227,81269,84643,90522,89222,86600,85230,82593,76938,71124,70439,71325,70410,71664,74200,71231,70168,70616,69328,66990,60912,58253,60425,62392,64898,67718,70014,69600,70188,69843,69165,66912,63364,58460,57862,57856,63926,69088,71434,73033,73814,72901,71595,68807,63527,58788,58070,58476,57591,63060,67346,70381,70020,69292,68296,65004,59340,54473,55119,56607,59078,60575,63218,63708,63387,62449,61298,58835,53598,49846,49626,49237,49408,52352,53866,54753,54762,54859,53944,51938,47512,43530,42698,43622,45234,47474,48778,48906
"Ohio","State","Ohio","All Homes",48825,51005,56947,66385,67586,68672,71674,71354,72212,69474,67644,66165,60538,61975,71354,72500,73117,74254,76490,74346,72998,70881,68711,62130,58542,57742,58403,58304,59367,60972,60518,59967,58276,56981,55270,50628,47941,50112,51586,53310,55506,57856,57706,57829,57106,55630,53397,50139,46303,45118,45374,48314,51535,54172,56611,57725,57022,55530,52862,48154,45224,44560,44474,45553,48520,53154,54556,55404,54449,53529,50770,45871,42132,41614,41440,42362,43490,46697,47655,50696,49863,48101,44580,40396,37459,37040,36778,37056,37490,39435,40860,41877,41703,40415,38567,34622,31342,30621,30972,31896,33737,35978,37405
"Michigan","State","Michigan","All Homes",77645,79008,82271,82620,80425,82376,86912,85392,84223,82876,81367,77208,74940,74753,76414,77836,78464,81097,83872,83706,80855,78486,75380,69240,65089,63904,63928,63492,66252,69698,70066,70280,68534,65277,61369,57274,52793,52790,53422,54772,57882,60080,59268,62674,61729,59914,57318,54434,49235,48237,47728,49594,53806,60892,65053,67492,67028,62402,59608,55249,50750,48953,48549,49827,53320,58403,61671,65928,65302,61819,57012,51785,46311,45152,45151,46546,48804,53678,56430,57878,57237,53822,49875,44203,40000,39150,38079,38129,41213,44018,45958,47742,47172,44962,41651,37084,32867,31252,31330,32474,35752,39978,41852
"Georgia","State","Georgia","All Homes",88366,90617,93459,97544,95152,97452,98729,94935,95089,93526,95260,95608,90237,94583,101507,102948,101308,100726,102090,98977,95124,79546,93800,87732,81397,81998,80387,76567,75117,74352,69960,64019,60292,56573,55866,53058,50027,50918,52674,53494,54684,54802,53113,56625,56934,57512,56860,54572,50872,51910,53132,55677,58118,60872,61344,61552,60930,60786,59395,57475,54189,53998,57366,61673,63092,65089,67020,67032,66165,65232,62344,58636,53430,52654,53966,55658,59000,62484,62486,61784,60828,59622,58317,55236,51786,51674,51123,50988,51546,52690,52982,52733,51674,50593,48855,46258,42879,42593,43263,44138,45862,46890,48094
"North Carolina","State","North Carolina","All Homes",82093,86186,89977,95730,94490,98890,97181,94386,96542,96145,94156,91876,87560,89920,96719,101269,101814,105656,106312,105352,99202,97540,96212,91436,85597,87428,89626,87591,89410,88678,83430,79836,80996,79591,78038,73920,70073,72392,75671,77734,80486,80784,79246,79954,78850,78406,76798,73086,68469,68832,70481,74120,77531,79639,80191,79615,77794,74162,71411,66767,62242,61909,64946,58948,63926,64350,66226,66686,65648,63624,60143,57444,52900,54418,55334,58888,60336,62927,63265,62633,61153,59664,56022,52309,48713,48934,49199,49546,49505,51178,51845,51625,51520,51469,49524,45976,42416,42355,43371,44616,46872,47682,46680
