RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,457900,464600,466900,468e3,470300,463500,464200,465800,472300,465800,450700,438900,438200,445200,451400,456100,467600,470600,478100,474800,487700,493100,501100,492300,490500,478600,480300,479400,482100,481900,482e3,488300,493600,495900,484500,482800,480300,494700,493100,487300,485400,491600,500900,504500,501400,492e3,488100,490700,502600,513400,516500,524400,520900,524600,519900,522900,528700,532100,537300,540400,535500,559700,566200,572400,548300,540900,538700,533500,529400,533600,541600,543900,542400,536600,540600,540100,546500,544e3,555800,555100,558e3,546500,546e3,552100,565700,572600,574800,569500,567100,556200,552900
12447,Los Angeles,California,2,508700,48e4,459500,449200,432600,419400,403200,397300,386e3,374700,364100,35e4,342800,323600,320500,323100,329700,335600,34e4,347300,349100,354400,367100,369e3,364900,348100,349400,347e3,350300,346800,351400,352300,358400,364500,367800,363800,350700,343200,344400,343600,342100,338500,338e3,334200,332500,333200,339600,336600,335200,332500,336400,341700,349800,357800,371500,375900,385400,400400,415700,42e4,417500,423900,442200,456300,465600,467e3,470100,476e3,481900,484400,489400,491200,501600,501100,509200,504400,508600,510300,507400,507700,505e3,510900,538400,547900,552100,531300,528900,532300,535300,542400,548500,550400,556400,563200,589700,590800,588500,575300,576100,578400,572600,579200,586300,595900,603e3,605600,638200,640600,648500,621900,626300,629700,643e3,641800,644600,647500,663500,672200,687e3,696900,704600,695900,685900,688e3,684800
17426,Chicago,Illinois,3,324300,313100,291700,282100,277400,273700,271600,272300,266200,264e3,254900,256e3,253300,250700,239800,231200,228800,231700,230800,232700,238700,242200,245700,234800,227100,222e3,226700,231200,222800,213500,201600,205500,210800,215200,212300,207800,195800,186700,182e3,194e3,204e3,209e3,206e3,202800,194e3,194600,187500,186100,178400,181300,185800,196e3,201900,207800,211900,208500,209400,203800,209600,202700,200900,201300,216500,233700,243500,247800,247700,251900,251900,251500,250600,258100,258900,257100,254900,259300,258700,259500,261300,266300,268900,268300,271300,267200,266900,267300,271200,272200,269900,267400,264300,261700,256400,257800,262600,267600,267700,267600,269e3,269800,271e3,271200,267100,266800,271900,281500,294300,295400,298900,289700,284e3,276400,270500,268600,266300,267900,271400,275e3,280700,286400,299400,298500,293100,277800,272500
13271,Philadelphia,Pennsylvania,4,113100,113200,113500,110300,108600,112100,114800,115500,113700,110300,108500,102800,103400,11e4,112800,113600,109400,116900,122400,124100,128200,126400,124800,115300,117400,120200,122900,12e4,115600,107e3,104900,99800,109800,105600,109900,105800,109700,112600,111700,111300,106e3,107700,107e3,106700,102700,103800,104500,102100,101400,104300,110100,108200,108e3,110900,110700,106800,106e3,111500,116100,113300,109100,109e3,110400,112900,115200,116300,116500,115100,115500,117500,120600,123e3,129800,127700,126e3,119200,118800,120900,119400,120200,118500,119600,119400,114e3,117e3,118200,122600,123400,124e3,124500,125400,127400,128300,124600,130100,130100,131e3,124300,126800,127900,13e4,129e3,131400,127600,13e4,131500,136300,137900,139900,144200,145100,145900,145100,147600,146500,143700,146500,149800,156700,154700,154900,152400,154600,153e3,
40326,Phoenix,Arizona,5,220900,213e3,206600,198300,187700,177100,167100,154e3,139100,122600,107900,93300,81600,74800,74300,82300,88700,95400,95400,97e3,103400,105e3,105500,102400,102e3,103600,103600,105500,102400,98e3,95e3,93700,89700,84600,83700,83200,82800,80400,80200,82300,83700,86400,89100,91e3,95800,98800,100500,100300,102200,107500,115700,122e3,126300,129900,129500,133700,137200,142800,146200,145100,145500,147600,153600,160100,164e3,165900,165700,164600,163700,164400,165700,166500,167e3,166600,164100,162500,165e3,169200,173900,173700,173500,175100,177600,181200,180400,182300,185700,19e4,189100,188e3,188100,192300,196100,198300,198300,197300,200700,204e3,205900,205100,204200,205900,208500,210600,212500,212400,215100,216300,218200,217400,215700,214700,217400,220200,221700,223100,226e3,230100,236800,239400,238200,235800,233700,237e3,237900
18959,Las Vegas,Nevada,6,245200,239600,235900,23e4,219800,207800,193600,184100,174700,166100,158200,149400,142200,131200,124200,120500,119800,117700,115800,117100,118900,121500,122900,123400,123100,124300,126400,128700,125500,123900,119600,118700,116700,115500,115e3,113800,110800,109e3,108200,108700,107400,104200,102600,102800,104400,105700,106600,106700,108e3,109900,113200,116700,118500,120900,122700,126200,130300,133200,136900,139500,143100,145400,148100,154600,158300,161700,160400,162800,163500,166400,167200,168800,170300,171900,172400,163800,162800,166500,177e3,179800,178900,178900,179100,181900,182400,185300,186100,186800,188900,187700,189500,187800,190600,192300,197400,200700,201e3,199900,198500,200100,199900,200100,200400,203200,207400,207200,209500,208200,213800,214500,219600,225400,229100,229200,229400,231900,235e3,237400,242e3,246600,253300,255700,260900,264e3,
6915,San Antonio,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163100,162700,161700,163400,164e3,165800,165900,168400,17e4,173400,172300,172e3,170800,171600,172800,172800,178100,176900,177800,173600,173800,177800,178900,18e4,176100,176100,176500,177800,180400,181200,181300,178500,179100,179300,178300,177900,178600,179900,180900,183300,190700,195900,199500,196500,193700,192700,193300,193900,192e3,
54296,San Diego,California,8,419800,408200,398800,380600,371300,356600,348500,334e3,321600,308200,294800,298200,292200,291500,290500,308400,324e3,332e3,340300,347100,346600,350200,341800,345700,345e3,350900,348200,343500,347300,348500,353700,354100,360500,359200,347e3,338500,335200,343300,343800,336900,332600,327600,327300,325800,326800,330100,328600,328700,333100,342100,351400,355e3,363800,366600,370300,370700,380800,389800,397500,401300,407e3,416200,427e3,431e3,432900,429800,435800,434e3,436200,435800,438900,438800,440100,441900,446200,445600,449e3,455200,461200,467600,465800,464500,463e3,472500,482200,484e3,478300,475900,479e3,480700,473600,468600,473100,489500,501700,501300,491e3,494800,498800,505300,502400,504100,506600,515300,520500,522800,527200,536500,541900,535900,530900,537400,546600,551800,552700,553600,566300,574300,577800,572e3,573200,577600,583200,584200,585e3
38128,Dallas,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248600,249700,245800,248900,248600,251100,247100,250300,248400,263300,271500,272200,263600,255400,259100,255700,256e3,251800,255400,258e3,271700,271300,276300,267100,271500,268400,271200,267900,271100,275800,277400,275300,274200,277500,278800,278400,278900,281200,278100,278100,274800,277900,278800,281900,281800,295e3,300400,302900,288800,287700,
33839,San Jose,California,10,615200,578200,560700,543300,529300,517700,496400,474800,445900,428300,424200,416200,394800,367700,356700,366700,392400,402200,414300,416500,433800,448600,461800,466100,465e3,449300,450600,446400,454e3,452100,456700,454e3,451700,448600,451800,439500,428500,414300,412600,422500,424e3,431100,430600,427500,426200,422600,434800,433200,431900,434e3,438100,450200,463100,490800,507700,515800,521200,526900,545500,549400,555200,560100,576400,592400,599e3,601300,604700,608500,611600,616700,624600,628600,623700,625100,630600,640200,635100,643600,65e4,660500,664800,669100,679e3,668300,674500,677900,697900,705300,710700,717600,725700,730500,733100,738400,741100,745500,747400,752800,759300,760300,764600,761100,761200,767200,778500,785600,801700,809300,817600,810300,810700,817400,828400,837600,856500,885300,922800,970900,1002300,1044300,1060800,1071700,1065200,1054600,1030600
