RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
102001,United States,0,188300,184800,1.81E+05,177700,175800,174700,173700,172700,170700,167200,164200,162100,159600,155500,1.52E+05,151800,153500,155700,156900,158400,160400,161900,163900,163900,164800,162100,159900,156900,157400,157500,159200,158700,159700,159100,159300,157800,155500,152800,150800,150200,150600,150100,149400,1.49E+05,149700,150800,150800,1.51E+05,151300,152800,154500,156900,158500,160500,160900,161400,162400,164600,165900,166600,167600,169100,171500,173500,176400,177800,178400,178400,178200,178100,177900,178300,178900,179400,179200,179700,180800,182500,183800,184800,185100,186100,187900,190700,192700,194100,195700,1.97E+05,197800,196900,1.97E+05,196800,197800,199600,201600,202600,202400,202900,203400,204800,205100,206200,2.07E+05,209200,212400,213800,215900,215900,217100,216900,217200,217300,216800,2.17E+05,218700,2.21E+05,224700,226600,230600,233800,236400,234900,230800,227700,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362400,360900,362300,363900,367600,364100,358700,356800,353200,354300,350800,347900,345100,341900,342800,3.48E+05,354900,359600,361100,360100,355100,352800,353500,3.58E+05,3.57E+05,353700,351300,353200,354700,357700,359100,362400,365800,367900,369800,367800,367500,366600,3.70E+05,370400,3.70E+05,369400,368600,369300,3.69E+05,368200,366300,366100,367300,370800,372600,372900,374200,371900,372700,370200,368100,369200,371100,376200,377300,372400,371800,372300,377700,378300,377200,377900,376700,376200,375200,377200,376600,371400,370100,369400,374900,375900,376900,377600,374300,3.75E+05,373800,3.80E+05,384100,385900,387100,389400,396500,399100,,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,472800,461900,445100,4.35E+05,4.21E+05,408500,392400,380300,368300,357100,340700,330500,323800,320400,318400,324900,333900,341900,349700,357100,364700,367300,369500,367900,3.66E+05,362700,365900,363500,365500,361100,367700,366900,369700,365600,359800,356900,353400,3.55E+05,351700,348100,347800,3.46E+05,345600,339900,339600,3.37E+05,335800,3.34E+05,334900,340100,343500,348800,356800,364200,374600,380600,389900,397100,3.98E+05,399900,404500,420200,432600,444600,449700,453400,4.54E+05,456500,460500,463800,461900,466100,468700,4.76E+05,480100,481700,485800,486600,489100,490700,490100,490200,493300,502400,507300,510900,508400,513900,514400,518800,519900,520200,522700,526500,531700,533600,534600,538500,542200,544500,544300,546800,549800,556100,561400,564200,567300,568500,5.74E+05,576400,580600,5.84E+05,591200,593500,600100,602300,612300,614300,618400,623700,627400,626700,621900,623500,626800
394463,"Chicago, IL",3,258600,254400,239700,228300,225200,224200,225300,224800,222300,221400,215900,215400,209300,204300,194600,189800,190200,193900,195200,197500,198900,201400,201400,202700,199400,195100,188400,188700,187200,186900,181400,183200,186400,189600,187800,184100,1.78E+05,172600,1.66E+05,1.66E+05,1.69E+05,172700,170600,167800,163900,166800,163600,163600,160200,160500,1.60E+05,164300,166700,168200,165700,164100,165500,165700,166800,164700,163300,163800,167800,175900,185300,190600,191800,192700,193500,196200,195400,197800,196600,195300,193500,196100,198800,201900,202900,203400,203200,202200,203200,204700,206400,208500,2.10E+05,210600,209900,206900,206200,2.06E+05,206800,207300,206800,207900,210400,214400,216200,215400,213900,212900,209800,2.10E+05,213200,219600,224300,227600,231800,231800,228900,223900,220600,217800,215100,216600,2.20E+05,225900,228700,234900,239500,241900,236700,232900,227300
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184600,183400,183400,186300,188900,190600,191100,192200,1.94E+05,195700,197300,197800,198300,1.99E+05,200200,2.01E+05,201500,201400,202900,203500,2.05E+05,205600,206800,208200,211700,214100,216100,216200,217100,218800,219800,219300,220900,224900,230100,232100,232300,230600,231600,2.34E+05,239800,243600,244800,244100,244200,247600,250100,249800,247300,245100,
394974,"Philadelphia, PA",5,213600,213100,2.09E+05,200700,196400,196900,198300,198600,199100,198200,197800,198500,202300,2.04E+05,197900,191200,186100,189900,191900,1.94E+05,194700,198200,201400,203700,204900,205400,200200,193900,189600,187800,188500,190200,194200,198100,202100,203500,200800,195500,186600,182400,180500,183300,182100,181100,179600,1.83E+05,184500,188700,188400,1.89E+05,187200,188100,187100,188100,183500,183800,185500,194300,197500,196900,194400,194300,192100,192600,193500,199100,198700,197600,194800,194900,195400,194800,196800,196200,195300,193100,191600,193200,193400,194900,193800,193900,1.94E+05,192300,192600,194300,195800,195300,193100,192600,193300,193300,193400,1.92E+05,194300,198900,199700,197800,193700,195100,1.96E+05,1.97E+05,1.96E+05,193900,194100,198400,199600,202800,200800,203200,202300,202600,201100,199300,196400,194500,194900,199500,203900,205900,208300,208500,2.09E+05,206100,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181800,181600,184200,185900,187900,187200,187300,188600,188600,190300,190600,1.92E+05,193100,1.93E+05,192800,189800,189600,188900,191400,192200,193600,191900,192900,194400,198300,200200,201400,2.04E+05,206700,2.09E+05,210700,211200,213600,2.15E+05,215200,214700,213700,214900,216400,220500,2.26E+05,225800,221400,215400,2.17E+05,220700,225800,226600,223500,220200
395209,"Washington, DC",7,3.55E+05,346400,331100,318300,312700,309800,302500,294200,287300,281500,282500,280300,282800,2.77E+05,274300,274500,283900,295700,301500,299700,2.98E+05,297900,298700,296600,297800,300900,298200,290600,290700,284700,294600,291300,305500,303800,303200,301700,293200,287800,279900,280900,289900,297300,304700,2.96E+05,291100,284300,286600,282800,293300,298400,310200,313900,321800,3.22E+05,319700,3.17E+05,319100,317300,318800,315400,323900,328600,339100,342600,346900,347200,343800,340100,340300,340400,341300,337700,339400,339600,3.49E+05,3.50E+05,352700,346500,345500,344900,346400,349700,348500,349900,354800,3.57E+05,357200,3.50E+05,347700,344900,347200,348900,350100,3.46E+05,347100,3.50E+05,351800,3.53E+05,350500,350800,3.50E+05,352600,354500,357800,356600,358500,360800,362100,363900,362500,363300,361800,360800,360200,361300,363200,367200,370500,372800,375200,382200,385300,384700,377300,
394856,"Miami-Fort Lauderdale, FL",8,257900,248600,238100,229600,224500,223300,216700,2.09E+05,195800,1.88E+05,176600,167900,158700,151700,143400,138300,138500,142500,145700,1.45E+05,144400,145700,146900,148300,148200,146400,145400,141800,137900,132900,128700,129800,130600,130300,123800,119900,116700,119600,121500,124500,128500,127600,126300,124100,123800,1.27E+05,130300,133400,134800,135600,137300,139200,140100,141900,144400,146400,148100,152700,158100,162100,1.60E+05,159900,163200,168200,170700,172700,174600,176300,178200,179100,182100,179800,180300,1.79E+05,182200,184500,187400,187700,188300,1.89E+05,191800,195400,196600,198400,199200,202100,206900,2.09E+05,210100,208800,208900,209100,2.05E+05,206500,208500,216500,218900,221300,221300,222100,222700,223700,226500,230300,230200,230200,229500,235200,237600,240600,238600,2.39E+05,237600,240700,243500,245600,245900,248200,255100,262700,269100,268300,266400,262800,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92600,9.30E+04,94200,96500,95300,95300,95600,96600,97900,98700,101600,103200,105400,106900,111900,116700,121300,123500,126800,129200,133400,135500,140500,141200,142300,140200,139700,139900,141100,141700,141300,141700,1.45E+05,148400,1.52E+05,152900,154700,154800,157600,160200,163100,163800,170400,172900,174900,169100,168500,168600,169300,170800,172900,175800,176500,176600,175800,175500,174300,175500,175600,177100,178400,181600,183100,185100,187200,191600,194100,195700,194800,192800,190800,191800,194900,197200,199600,205200,212100,214700,214500,2.12E+05,211200,
