RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
9,California,1,387800,370900,348e3,332700,317800,305500,291500,279700,265400,255600,243e3,236400,227100,220900,216800,221e3,230600,238700,245200,249700,255700,261100,263e3,263600,261600,260500,264100,264100,266800,262900,266100,263600,261700,258700,255400,255e3,251100,250300,246400,244900,243900,244500,245800,245e3,245300,244200,246600,247800,249800,255100,260100,265800,271600,278200,287800,293500,300800,307300,309600,310800,313900,324e3,335800,345400,353200,357300,358900,360700,363600,368200,369200,371400,372e3,374500,377300,377e3,379700,381600,385400,386600,385700,385700,387e3,392e3,395200,399500,399300,402e3,401900,404600,406100,407100,410100,414e3,418900,418e3,416300,416200,419600,422300,422600,423600,426100,430700,434100,435900,439100,442400,447600,448700,452300,455800,459700,460800,463800,466200,471600,472600,475e3,479100,483100,487800,487100,487200,485800
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172700,173700,175400,176600,177300,177800,178700,179800,179900,181400,182100,183700,185500,186e3,186200,184400,184600,185100,186e3,187200,187900,189200,190300,192200,193600,194200,195e3,196300,198800,199900,200500,200400,202100,202800,203700,203300,203500,204600,208e3,211e3,213e3,212400,211600,211300,213400,215200,216300,216900,218100,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243900,246800,252500,260600,263200,258300,254100,258e3,253100,250600,238400,234e3,226700,226e3,224300,228900,229300,234900,242e3,247600,248e3,247500,244300,248400,249800,252300,247500,246400,243e3,250300,252200,264800,266100,271200,268400,268500,265900,263800,264100,263900,261900,262100,260700,261500,258200,255900,255400,257900,26e4,260100,260800,262300,263500,262500,262800,262700,264900,265800,267400,271500,272200,267900,262600,266500,271900,272e3,274300,280400,284700,280900,274300,276e3,276900,279300,280600,281800,284800,286100,288600,291600,288900,289e3,286700,295300,303e3,308e3,305100,298600,295600,288100,,
14,Florida,4,206500,197200,191600,186900,184300,179800,174800,168900,163200,156400,150900,145200,139600,133200,128100,125200,126100,126700,128700,128400,130100,130500,130300,128800,127500,126400,125300,123700,120600,117e3,114500,114600,116e3,116700,115100,111600,109300,109700,112800,114300,116e3,115900,116300,115800,116e3,117700,120400,122200,122700,123e3,124300,125700,125700,125900,127e3,129e3,130800,133200,135900,137500,138e3,139700,141900,144400,145500,147200,148400,149100,150300,150900,151600,150400,150600,150600,151800,152500,154100,154700,156e3,157400,159700,161e3,161800,163e3,165200,167e3,17e4,170900,171700,170700,172e3,173500,174800,176500,180200,182900,184100,183e3,183900,185400,187e3,188700,189200,190400,191e3,192600,195600,198900,200900,201700,201600,202700,203e3,203900,204100,205600,208700,213300,220500,226e3,229700,226600,222700,219100,
21,Illinois,5,215100,209700,195200,185200,181100,183e3,181900,181600,179100,179e3,174200,172300,167200,162600,155600,151e3,152100,157400,159900,162500,163200,168700,171500,173300,169100,164100,158700,159200,158800,157500,150400,150100,151500,156e3,156200,153900,149400,143500,138800,139300,141e3,144200,142400,141500,139e3,140500,138700,137e3,135800,135600,137100,138900,140100,142200,139300,139100,140200,142400,143800,142500,142300,142200,144800,149600,155900,159800,161200,163900,165800,169600,169600,171200,169600,168200,166800,168400,168500,169800,171200,174200,175800,175900,176e3,177400,178600,180200,180400,180600,181800,181700,180900,179700,178600,179e3,178500,179900,181900,185100,186200,186700,185400,185200,181e3,181e3,182500,187700,190500,192700,196300,198100,198400,195500,192400,189900,185600,185800,187200,192400,194600,198400,203e3,206900,205300,203900,
47,Pennsylvania,6,149300,147500,145600,142200,141500,142300,143100,141500,139600,137200,136700,137200,139600,139300,137700,136e3,136300,138500,141100,141500,142500,143300,144e3,144500,145300,145600,144500,140800,138500,136100,135300,135600,137400,139300,141700,142200,140400,136600,133600,133e3,133500,133700,132200,131400,131700,134800,138200,140800,140700,140400,140300,140800,141e3,140400,139e3,138500,140100,142600,144e3,144200,144400,144900,144700,144700,145800,146500,146300,145400,144300,144300,143900,145300,145700,144400,143100,142300,142900,144100,145100,145500,145300,146e3,147100,147400,147700,147e3,146800,146900,148400,148500,149e3,148400,149300,148700,150300,151100,150200,150400,150700,153100,152600,152100,151200,152200,153200,154300,154600,154900,155900,157200,158300,159600,159700,159400,158400,158600,159300,161500,164700,166400,169600,167500,166500,163800,
44,Ohio,7,110200,108100,106800,106e3,105600,105300,103700,101100,94300,89300,85500,84600,84200,85900,89300,93800,97300,100100,102600,105200,106800,106400,103100,102300,101300,101800,102900,103700,100100,95500,91200,92e3,92500,96400,96400,93100,86200,84e3,86e3,89900,92800,93700,92300,91100,90300,92600,91900,90500,89e3,91200,96400,99200,102300,102300,102300,101800,101300,102900,103500,102500,100900,99400,102700,105600,109300,110200,109600,108e3,108700,109e3,110500,109600,110800,112200,113800,115500,116200,117200,117600,118200,117500,118900,117e3,119300,119e3,120300,119800,119200,120100,119900,120400,120600,117300,117500,118200,124200,125200,126400,125400,125600,124600,124500,124800,127400,128600,129500,131400,132500,133300,132e3,130600,129800,127400,128e3,128800,131800,132800,135600,138200,142500,142500,141200,138500,137600,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,70800,67700,67100,68600,68800,67900,63800,61600,58800,66500,68300,71600,64400,62200,59e3,57800,58300,60500,62700,63900,63200,62200,63700,65400,66200,64200,63700,65100,66600,68100,69700,72200,71200,64400,65e3,68900,79200,82500,84400,85600,86700,90600,94800,97600,97300,92300,91400,92500,96700,97300,97500,100300,104700,108e3,110700,111600,111700,109700,106500,108700,111800,117e3,117900,119700,121300,121900,121200,120700,118e3,122700,123800,128700,128e3,130700,131300,130400,129100,128300,128500,128100,130300,155400,159e3,159900,138700,137500,139100,138100,138400,135500,134800,135500,138100,163700,166600,168700,147500,148700,148e3,147300,144e3,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109500,108100,104700,98900,93800,93800,94900,96200,94900,95300,96200,96900,97200,98500,100900,102500,103e3,104700,108900,112600,115200,116400,118900,120800,123700,125600,129500,129900,130500,129300,129500,129500,130100,130100,129500,129800,132200,135500,138200,138800,139600,14e4,142100,143900,145700,146900,151800,153400,154600,151400,152100,153800,155100,155800,156600,158800,160700,161200,160400,160500,160200,160700,16e4,159400,16e4,162200,163900,165600,166300,170200,170400,171e3,169200,17e4,170400,171600,173900,176e3,178600,180700,184500,186800,187800,186200,184900,
36,North Carolina,10,155900,154500,148900,147600,147900,148900,148200,149e3,146600,146400,146e3,152400,154300,152300,146900,145700,147600,149300,149800,150700,150900,150800,152700,155e3,154900,151500,147200,147e3,148200,149900,150400,150400,150700,152900,153500,154200,150400,148700,146e3,148200,148200,151200,149100,149e3,146900,148700,149500,151800,152300,152800,150200,150200,150400,151800,151100,150300,151600,154900,156300,157700,155100,155900,154e3,155200,155800,156500,156600,156500,156700,158300,158400,159e3,157400,156500,156600,156500,157500,157300,157900,157600,158500,159700,162e3,165800,166900,167e3,165100,165600,166700,167200,167600,167400,167800,168300,169600,170200,169800,170200,169300,171e3,171e3,173300,173800,175500,176200,177e3,176700,177500,179e3,180200,178300,178600,179400,181400,181900,183e3,186200,188300,190100,193500,196700,198400,195800,193400,
